,Current Market Cap,Last Price,Alpha,Beta,Revenue Growth Year over Year,ROA,ROE,Profit Margin,Asset Turnover,Financial Leverage,EBIT/Interest,Price Earnings Ratio (P/E),Price to Sales Ratio,Short and Long Term Debt,Total Equity,Operating Return on Total Invested Capital,Weighted Average Cost of Cap,Free Cash Flow,Price to Book Ratio,Industry Group,WACC Economic Value Added,Total Compensation Paid to Executives
A UN Equity,38380998115,128.49,0.127764717,0.993224025,18.35549728,12.07886579,25.36051029,19.14859946,0.626001055,1.981290197,16.62962963,31.0303944,5.935170671,2911,5389,18.38345865,9.270896787,1297,7.5006856,Electronics,536.8914812,30988527
AAL UW Equity,10535130835,16.22,-0.222211048,1.223408222,72.35969314,-6.118338846,#N/A N/A,-6.669566963,0.511179713,#N/A N/A,-0.588333333,#N/A N/A,0.302214396,46177,-7340,-3.810340125,6.36661296,496,#N/A N/A,Airlines,-3349.472532,22809261
AAP UN Equity,11565833822,190.73,0.098262772,0.928326905,8.822874318,6.332714249,23.57856834,5.602005967,0.925126165,3.593683157,22.19356461,15.98289401,1.082490783,3837.092,3128.291,12.53474619,7.809925243,822.623,4.004983805,Retail,110.6338896,20792255
AAPL UW Equity,2.353E+12,145.38,0.299396038,1.129532337,33.25938473,29.62394231,149.1901272,25.88179336,1.122436102,5.254965779,41.1905482,23.61328095,6.188950815,136522,63090,63.12958914,10.68667778,92953,34.9598112,Computers,87153.53134,206684918
ABBV UN Equity,2.60066E+11,147.17,0.321832359,0.723219037,22.69015806,11.3807267,111.4478712,20.53846291,0.386262734,10.43020643,7.397441189,15.67713998,4.597579593,77575,15436,19.61163919,7.041245057,21990,15.96945857,Pharmaceuticals,9508.364287,68054674
ABC UN Equity,30797499272,147.03,0.217093438,0.890333772,12.68861912,3.891975089,#N/A N/A,0.719631911,4.40347585,#N/A N/A,12.89660027,15.25218215,0.133156982,7805.431,584.411,28.65107731,7.984427931,2228.369,55.94745686,Pharmaceuticals,1888.699184,33282588
ABMD UW Equity,11949142478,262.25,-0.128755599,1.12526834,21.73760681,14.82019868,16.5713722,13.23039526,0.651410211,1.118161271,#N/A N/A,51.12827279,11.5516057,9.507,1503.326,9.945867397,10.75835036,249.627,7.945167083,Healthcare-Products,-60.20699753,32131551
ABT UN Equity,2.04107E+11,116.57,0.129489794,0.762829363,24.46544152,11.38786713,24.24048073,16.41555427,0.606490817,2.154142245,15.80675422,24.99332118,4.645928177,19251,36024,17.30033746,7.852778518,8648,5.765907006,Healthcare-Products,3290.751596,71253748
ACN UN Equity,2.02302E+11,304.95,0.138854638,1.041621566,14.00127358,15.16345078,32.88891519,11.68892314,1.345023663,2.196946564,128.1101493,30.74092865,3.408577187,3506.634,20097.114,42.41006907,10.01654966,8395.016,9.402499963,Computers,4408.299347,59762619
ADBE UW Equity,2.03062E+11,429.76,-0.14955543,1.172582626,22.66863537,18.93636258,35.32140015,30.5479886,0.633504052,1.836178326,51.34513274,42.69332421,12.6707406,4673,14797,33.89365352,11.23197162,6882,14.72571504,Software,3224.535281,114661970
ADI UW Equity,85892748067,165.24,0.056811132,1.027326226,30.61240152,10.38836778,15.26384667,18.99928481,0.269510441,1.476094322,9.155693223,21.30079554,8.094695352,7118.233,37992.542,6.311425428,9.504050902,2391.393,2.315182093,Semiconductors,-1070.095163,60878893
ADM UN Equity,49467641467,87.91,0.554475665,0.844491363,32.4667858,5.414890325,14.13706438,3.177749886,1.547239222,2.492054524,10.6754717,15.79982758,0.55187865,10581,22767,8.76557097,7.334398695,5426,2.086389514,Agriculture,-1229.935208,47821656
ADP UW Equity,92188441503,220.68,0.167317629,0.803302526,2.848565436,4.487307453,57.51974298,17.31709918,0.254714341,7.698799716,55.68844221,32.86936596,5.761732443,3446.4,5670.1,45.56545727,8.018833795,2914.7,22.01063057,Commercial Services,1847.109259,35888366
ADSK UW Equity,45273009356,208.37,-0.368963569,1.262309551,15.72393415,7.336432941,63.08707918,11.33047602,0.587057258,8.754877108,#N/A N/A,80.8653666,9.990146667,3060,849.1,25.14066968,11.10968965,1475.3,66.39690006,Software,241.8688067,43925439
AEE UN Equity,24082520198,93.31,0.113907322,0.622482061,10.35554021,2.925231206,10.64682917,15.48326556,0.19444525,3.635851486,3.480417755,23.9256404,3.579254792,13612,9829,5.859850461,5.725088013,-1875,2.456928551,Electric,256.4982262,22923630
AEP UW Equity,52355828743,101.95,#N/A N/A,#N/A N/A,12.55823307,2.667527696,10.27295741,14.81717485,0.197938276,3.910279389,2.610622178,22.27066824,2.997538586,36658.9,22723.5,5.858444723,5.392085112,-1924.2,2.195553489,Electric,70.91358946,35286276
AES UN Equity,14873234294,22.27,0.228422001,1.063807487,15.33126294,2.568696225,39.52114537,-3.671124675,0.325206511,14.66594313,2.79363337,17.09951693,1.324158447,19147,5824,8.866032589,6.032165338,-214,6.742173436,Electric,-141.3643906,31195593
AFL UN Equity,37889758125,58.82,0.153081641,1.016517639,-0.185126654,2.616693204,12.95834198,19.56482403,0.140929152,4.828893013,#N/A N/A,9.83690829,1.815786097,8061,33253,3.566043786,8.641004268,5051,1.285583635,Insurance,-17516.98775,34759455
AIG UN Equity,45384678076,57.29,0.252503544,1.02656734,19.02551674,0.702476805,6.915314182,18.03407803,0.092254705,9.00556664,#N/A N/A,11.97316225,0.899560983,31363,68912,2.694990962,7.330215756,6279,0.826867449,Insurance,-12761.55574,88259311
AIZ UN Equity,9756407040,180.39,0.319143474,0.731404066,6.170600802,1.577757697,11.26694155,13.47127881,0.264426628,7.045170432,#N/A N/A,24.25053093,1.02632752,2219.9,5489.7,3.10194575,6.952261289,594.1,1.959284184,Insurance,-838.5221009,27052839
AJG UN Equity,34075130280,162.21,0.292074025,0.854164004,17.2168599,3.613117083,15.53131262,11.04587424,0.250967799,3.788902046,5.384343211,28.1699545,3.948522665,6447.2,8560.1,10.12183344,7.977036957,1575.5,3.791167643,Insurance,0.849400105,34198870
AKAM UW Equity,16165175662,100.84,-0.097665392,0.788585663,8.225820623,8.107883915,15.16059006,18.82692909,0.436946751,1.810982985,10.30403663,25.49355111,4.637860789,2858.937,4530.014,10.75740091,7.829768678,859.333,3.764293348,Software,30.64417178,33406520
ALB UN Equity,29367178646,250.76,0.864603639,1.367637992,6.361578429,5.42317026,10.17173151,3.716153784,0.334131932,2.16557125,8.85417406,50.00509394,8.088408076,3284.529,5805.607,11.38855227,11.36750502,-609.41,5.040161411,Chemicals,-318.1599244,19107386
ALGN UW Equity,21561197659,273.6,-0.253125608,1.467454791,59.89799109,13.81820101,21.55429616,19.53203272,0.732036731,1.571015662,#N/A N/A,28.55475438,5.3520736,125.375,3622.714,25.9584784,12.76117067,771.446,5.879988743,Healthcare-Products,231.4521961,38906510
ALK UN Equity,6163368357,48.88,-0.016959712,1.101232767,73.1912507,-0.739955044,-3.235257985,7.739637306,0.495925822,4.12387686,5.3515625,#N/A N/A,0.868816176,4086,3801,8.23740087,7.902207842,738,1.694576554,Airlines,12.46272207,15774078
ALL UN Equity,36289506246,131.97,0.088744462,0.786976397,20.70915555,2.90146263,14.4124414,3.160828655,0.444781262,4.390351731,#N/A N/A,11.66791208,0.75447506,8441,25127,5.159296108,7.135538177,4771,1.719154214,Insurance,-24776.6627,41259756
ALLE UN Equity,9784980285,111.44,-0.225061893,0.966470957,5.422993492,15.85761061,64.12711347,16.84452814,0.972781463,3.852943028,10.56175299,21.19362123,3.434528916,1534.5,762.4,23.24606858,8.574151059,443.2,13.45927429,Electronics,59.96736849,19453028
AMAT UW Equity,1.00009E+11,114.96,0.338526398,1.465238929,34.07161958,27.42585791,57.64409911,25.53006981,1.002543194,2.11075575,29.19067797,15.23958792,4.133909942,5753,12247,43.54899091,12.49345672,4774,8.627708714,Semiconductors,4768.902872,68641308
AMCR UN Equity,20122046153,13.39,0.035106372,0.87750411,3.156206136,6.005424581,22.66058234,7.30114299,0.814887649,3.58151844,8.633986928,21.48739697,1.445973196,6847,4821,10.65909808,6.988574776,993,4.455428496,Packaging&Containers,56.82429261,41195796
AMD UW Equity,1.7226E+11,106.3,0.468648314,1.356268883,68.32940694,9.404300899,11.70965549,19.24059876,0.490527793,1.603494825,107.2941176,37.22600212,7.115127154,732,7497,11.85111603,12.47714818,3220,3.112175464,Semiconductors,-3836.950728,60215534
AME UN Equity,28265694202,122.41,-0.014409303,1.044963241,22.16913152,9.207656451,15.9089275,17.85000453,0.513419616,1.735845157,16.28083751,27.45558932,4.889024621,2720.695,6871.884,14.85675205,9.350837042,1049.786,4.077750621,Electrical Compo&Equip,406.1031478,11621585
AMGN UW Equity,1.32722E+11,248.45,-0.015791245,0.733238637,2.182976715,15.58906125,185.1448167,22.68370607,0.432348955,7.704575082,6.381787803,14.80712252,5.310911471,33979,6700,20.07795561,6.93299918,8381,144.8930004,Biotechnology,4413.348225,51153689
AMP UN Equity,29822582819,271.35,0.287990391,1.120883465,12.41846463,1.606611021,50.93439898,20.53113144,0.082487652,29.59331717,#N/A N/A,11.99164258,2.283291724,3373,5685,46.90699262,10.07086092,3205,5.965690545,Diversified Finan Serv,2098.448583,50813043
AMT UN Equity,1.21722E+11,266.73,-0.113969892,0.770761251,16.35764472,4.536013573,57.25255234,27.44178093,0.168949326,12.76569261,3.596279711,45.92977633,12.29402339,52008.6,9069.6,5.765388441,6.898062191,3443.2,22.6930392,REITS,-1516.706895,40153392
AMZN UW Equity,1.24484E+12,2447,-0.23670803,1.129913688,21.69536657,4.92144652,15.21809701,7.101412876,1.302042396,3.202016844,13.75290216,69.73928196,2.598351106,132318,138245,8.927589266,10.49134101,-14726,9.294878396,Internet,-9376.139177,352237503
ANET UN Equity,31803549215,103.17,0.314555615,1.270038486,27.20697886,14.6425572,21.18428123,28.52250498,0.573998384,1.434923196,#N/A N/A,40.90987828,10.03989888,76.825,3978.6,27.94744075,11.67986947,951.12,7.655195646,Telecommunications,354.471071,32621878
ANSS UW Equity,22533920685,259.04,-0.372199595,1.229296803,13.40738727,7.765505844,10.87621856,23.843469,0.33165378,1.42915618,41.37613865,49.5524628,11.47185137,880.754,4484.048,10.49350187,11.12209633,526.464,5.163173025,Software,-144.1101484,39886708
ANTM UN Equity,1.18917E+11,493.26,0.342876613,0.983555138,13.76254441,6.496238261,18.24999375,4.40280152,1.471680031,2.657777329,10.95739348,19.02536819,0.832593467,24028,36128,15.09506648,8.391897674,7277,3.306328756,Healthcare-Services,2489.322683,45135450
AON UN Equity,57042068399,268.58,0.106444351,0.963227034,10.18434845,6.789693296,82.00331065,10.29279095,0.375780465,14.05421422,6.49068323,26.5718701,4.813959862,10423,1158,17.68609579,8.393545521,2045,48.5817155,Insurance,452.9222679,50446083
AOS UN Equity,9491460769,60.84,-0.048444182,1.000529885,22.22912997,15.25141783,27.27526723,13.76416401,1.145757219,1.802771363,141.744186,19.52886772,2.583120878,230.7,1832.2,31.28397027,9.362179264,566,5.281115363,Miscellaneous Manufactur,334.7491693,15277242
APA UW Equity,16336625500,48.3,1.139989257,1.211975813,91.80911681,22.52079834,#N/A N/A,12.04356975,0.676248877,#N/A N/A,4.993119266,5.984825214,2.02786819,7763,-5,47.18721737,8.898221952,2383,#N/A N/A,Oil&Gas,2381.21898,36314719
APD UN Equity,55946757202,252.27,-0.124612987,0.834220052,16.5610921,8.087836653,16.25024268,20.33420517,0.424749014,2.030785144,13.41211052,25.8791047,4.91478395,8219.2,14088,10.5293801,7.922221172,877.7,4.009054622,Chemicals,285.3946184,26868137
APH UN Equity,42325178581,70.88,0.049499389,1.005429268,26.48478294,11.98838866,28.24574539,14.62629755,0.817728362,2.310766756,18.22597403,26.47564851,3.700822556,5050.9,6379.1,20.33751465,8.906969976,1179.7,6.603671645,Electronics,844.8138523,26139024
APTV UN Equity,28794538709,106.28,-0.025377326,1.255751252,19.53160876,2.752534319,6.329508893,3.777692406,0.832787751,2.186130938,7.926666667,55.31498458,1.824881159,4463,8561,7.099930119,9.968183643,611,3.429356468,Auto Parts&Equipment,-914.742086,34343017
ARE UN Equity,26664908813,163.37,-0.132101059,0.845227063,12.11861032,1.125126944,2.183989131,27.02017359,0.077459371,1.900296196,1.48781673,70.95454215,11.05863858,9310.408,19033.25,1.887095149,7.622658187,-6514.304,1.557548855,REITS,-1999.500603,58500984
ATO UN Equity,16141033043,116.11,0.007876399,0.672881782,20.78427953,3.565259773,8.63087679,19.53235373,0.188620769,2.379063487,10.83129473,21.5817845,4.065003627,7581.829,7906.889,5.509163796,6.161976648,-3053.791,1.7967574,Gas,-245.8865841,13133075
ATVI UW Equity,60900747854,77.89,0.149585024,0.456820846,8.867177838,10.4477768,15.26020641,30.66000227,0.342589343,1.475824243,#N/A N/A,24.11020658,7.307489906,3897,17599,15.23494101,6.090544817,2334,3.414369825,Software,1252.320635,46871138
AVB UN Equity,28665532284,205.02,-0.001102954,0.892014384,-0.278586392,4.509961501,8.124000653,43.76316535,0.120935183,1.803221352,2.408001517,32.62060878,12.13294226,8270.044,10936.461,3.40918135,7.956459838,-376.618,2.611483613,REITS,-1095.792449,44354676
AVGO UW Equity,2.27479E+11,563.32,0.323770225,1.06793499,14.91125251,12.17782942,43.53135728,24.53916211,0.407408162,3.658167331,4.519363395,26.87595711,7.713139329,40273,24989,17.88204138,9.439876317,13321,10.97137584,Semiconductors,5135.804195,120637058
AVY UN Equity,14489577194,177.32,0.165992662,0.950259805,20.6096249,10.39401887,42.62423173,8.802017055,1.208201499,4.122693808,15.08119658,19.77518468,1.693587195,3287.3,1924.4,23.52889086,8.120316779,791.8,7.525352563,Household Products/Wares,533.6559889,21803589
AWK UN Equity,28199020771,155.15,0.033881243,0.763189614,4.050833995,2.779306637,9.939044364,32.13740458,0.154682491,3.696989529,2.967741935,40.38803595,7.270159343,11077,7298,6.727302978,6.761795291,-432,3.780024495,Water,321.0372213,16596542
AXP UN Equity,1.25633E+11,166.83,0.154869258,1.252119184,14.34594736,4.008957933,33.29347455,18.45956531,0.238053732,8.412457652,#N/A N/A,16.71643305,2.798987806,40918,22177,15.03915845,9.602128512,13095,5.62733554,Diversified Finan Serv,504.2933321,77538619
AZO UN Equity,40849764299,2058.04,0.387778491,0.959626973,15.81399001,16.78616171,#N/A N/A,14.83510298,1.10385079,#N/A N/A,14.5533792,18.25474578,2.694057111,8415.284,-1797.536,67.8337253,8.628748421,2896.776,#N/A N/A,Retail,2124.207131,34556174
BA UN Equity,82385289745,139.25,-0.618358076,1.393276691,7.097905705,-2.045025819,#N/A N/A,-6.746299329,0.427237997,#N/A N/A,-1.040516314,#N/A N/A,1.34392319,59641,-14846,-8.951438223,9.738054298,-4396,#N/A N/A,Aerospace/Defense,-9574.154216,57817104
BAC UN Equity,2.91579E+11,36.19,0.034101289,1.08937645,0.104529988,0.959103059,12.17251171,35.88477551,0.030405519,12.1293269,#N/A N/A,10.27990621,3.200000935,607747,270066,3.674240359,5.757158729,-7193,1.218337518,Banks,-26036.98521,108381082
BALL UN Equity,23536563210,73.6,-0.180203512,0.933326662,17.23113488,5.330567132,28.06301952,6.357251466,0.740367562,5.500724428,4.781481481,23.39280121,1.656698787,8159,3685,12.48537784,7.881503227,34,6.054129047,Packaging&Containers,465.9229252,31318113
BAX UN Equity,36525970302,72.54,-0.287217826,0.671706676,9.517690397,6.284465908,18.71033263,10.04380476,0.519144533,3.013621524,7.880184332,22.40873889,2.687184323,18310,9121,7.047306769,6.229665988,1479,4.024166255,Healthcare-Products,821.5837363,35049254
BBWI UN Equity,8714824836,38.1,0.742246687,1.437315583,22.50543985,17.46258601,#N/A N/A,16.91195128,1.230222381,#N/A N/A,5.177835052,7.49340904,1.054954069,6013,-1517,44.62948929,9.476587479,1222,#N/A N/A,Retail,1338.005692,44371654
BBY UN Equity,18101288239,80.39,-0.205314979,1.135934472,9.519275528,13.45557713,64.03494585,4.741021232,3.081138488,4.807545682,121.56,8.852963539,0.379545488,3938,3020,36.77480145,9.503912721,2515,6.525332079,Retail,1581.035504,36682161
BDX UN Equity,71933208482,252.34,0.01167246,0.575278223,18.29175673,6.592104424,15.42826667,10.33188463,0.365172687,2.538783771,5.456140351,20.12799121,3.60699133,18080,23677,6.043917579,6.290184948,3416,2.933295577,Pharmaceuticals,-359.4168357,32896192
BEN UN Equity,13227992930,26.46,-0.065254733,1.15784812,51.36081919,8.594960278,18.54872226,21.73402172,0.363036055,2.14889469,#N/A N/A,6.332224775,1.495731162,7588.8,12743.6,9.578807072,7.950501873,1166.1,1.147235955,Diversified Finan Serv,-80.46447183,32340361
BF/B UN Equity,31089543616,66.17,-0.167728335,0.872867465,2.914064823,12.76220423,32.55424103,26.09072522,0.589419071,2.653422587,14.39506173,39.15708885,8.45110279,2628,2656,21.88319891,8.512725241,755,12.58041658,Beverages,356.0577525,17401456
BIIB UW Equity,29381202848,200.62,-0.438099504,0.918979406,-18.31887896,7.565387507,16.37994646,14.16993726,0.45585444,2.245558308,11.20149842,16.55645495,2.743154233,7692.6,10959.7,13.55981369,7.981677461,3381.8,2.632152609,Biotechnology,470.222549,40735904
BIO UN Equity,16037391490,535.58,0.002108788,1.00352335,14.80653482,3.137033435,4.270857385,145.2809794,0.204601373,1.30582734,315.5577047,36.25917647,5.522154365,234.376,13667.134,4.70517386,9.544772512,535.718,1.574783548,Biotechnology,-452.4355153,21464832
BK UN Equity,36827521898,45.59,-0.133858785,1.061270952,-4.616292798,0.729806571,8.854896477,23.59550562,0.034427111,11.50411549,#N/A N/A,11.17401965,2.349597013,67395,43391,3.96449651,5.497719604,1623,0.996388381,Banks,-2593.858508,40248789
BKNG UW Equity,94890644993,2335.87,0.016636349,1.22504127,61.241907,9.542611032,48.08276998,10.6315021,0.543539173,4.111191401,7.473053892,43.95421119,7.660799978,11420,6178,17.73560209,10.29462873,2516,21.76940944,Internet,-128.2481529,96730146
BKR UW Equity,38771814162,37.82,#N/A N/A,#N/A N/A,-0.980439507,1.964026173,4.907503392,-1.068188469,0.572323542,2.644555063,#N/A N/A,77.56389422,1.599789335,7547,16746,5.993816905,6.172853576,1518,2.470919491,Oil&Gas Services,-856.0330023,37976086
BLK UN Equity,1.0242E+11,671.74,-0.095407024,1.18688333,19.55569269,3.722415239,16.20302186,30.45834624,0.1240597,4.516964481,#N/A N/A,17.55186815,5.190548847,9318,38893,16.55498777,10.48476258,4603,2.718668995,Diversified Finan Serv,124.5275515,91844712
BMY UN Equity,1.60042E+11,75.17,0.124671757,0.608269632,9.094971541,8.588428872,26.74770804,15.07815026,0.435886369,3.087992083,5.530734633,18.02650814,3.5185359,45596,36006,9.217677931,5.953722703,15234,5.067667071,Pharmaceuticals,862.6057718,48346590
BR UN Equity,17149113253,146.29,-0.041191459,0.872210503,10.26054317,7.666594596,30.4305558,10.96381441,0.815259709,4.122441219,11.82404181,33.36520159,3.086825071,4190.9,1809.2,14.03297629,7.793330592,588.2,9.391158822,Software,340.4827277,26997486
BRK/B UN Equity,6.86792E+11,310.94,0.248102382,0.8596102,23.8877089,2.992180264,5.801733659,25.32032845,0.381001338,1.93025534,27.53187919,#N/A Field Not Applicable,#N/A Field Not Applicable,119253,514930,17.70365088,7.744144868,26145,#N/A Field Not Applicable,Insurance,54081.518,41829204
BRO UN Equity,16580713612,58.74,0.077866182,1.043781042,16.76081695,6.180651182,15.27581454,19.24049239,0.311227187,2.359660581,12.73916991,26.53425814,5.169804174,2246.354,4196.893,12.11421647,9.04381495,897.424,3.83570016,Insurance,-31.19908266,23233626
BSX UN Equity,57054186552,39.91,-0.190226227,1.047834992,19.923333,5.177646352,10.08886424,8.756729475,0.384642146,1.972203963,3.516129032,34.92947576,4.674604904,9525,16621,5.87022053,9.12282262,1316,3.409196703,Healthcare-Products,-868.1633864,31685961
BWA UN Equity,9415292077,39.3,-0.114539526,1.026849151,45.97147073,5.462660418,13.29286726,3.61908613,0.900670771,2.4375,9.837606838,10.55385426,0.638011045,4522,7262,9.982757056,7.722146848,638,1.335502396,Auto Parts&Equipment,-112.1568182,43767907
BXP UN Equity,16677311047,106.42,-0.053017091,0.800562203,4.445009303,2.013171598,7.878543262,17.48914101,0.131093594,3.888482157,2.04306726,37.13266787,5.678899368,13345.591,8042.796,4.662218586,6.505478015,-17.861,2.853935007,REITS,-845.3572005,36963662
C UN Equity,99678781421,51.33,-0.292197227,1.001013041,-10.10141942,0.758983096,9.899563137,27.48638327,0.033827411,12.54068315,#N/A N/A,5.797853363,1.291929551,644191,202672,2.446989709,4.246804213,57130,0.557755884,Banks,-13717.22241,88032675
CAG UN Equity,15356008160,32,-0.137900487,0.703845322,1.178716167,4.804992333,12.58773434,11.61229179,0.509608918,2.708782011,4.012197877,14.42609175,1.352508342,9230.6,8631.4,7.973554537,6.274351002,961.7,1.750052214,Food,125.8802637,24419606
CAH UN Equity,14662040623,53.82,-0.218775362,0.949276388,6.241744157,2.576777666,#N/A N/A,0.376076372,4.11343839,23.80418994,#N/A N/A,13.73827982,0.085972353,6715,1794,-6.991966677,7.925466933,2029,#N/A N/A,Pharmaceuticals,-481.8537185,27344399
CARR UN Equity,33581890962,39.59,0.268846214,1.112677813,18.08547204,8.277695114,29.88314937,8.072575559,0.838466399,3.937706429,7.510971787,17.25016891,1.663085848,10353,7094,21.13617377,9.038204303,1893,4.730155782,Building Materials,884.4593674,33996967
CAT UN Equity,1.18889E+11,222.9,0.339484036,0.864282489,22.09207627,7.490371461,36.29728283,12.73076848,0.646274654,5.064183561,14.0942623,19.8876596,2.289670642,38431,16516,12.63998246,7.233623237,4726,6.966564673,Machinery-Constr&Mining,106.91136,54739025
CB UN Equity,88356531778,208.53,0.213835269,0.883011341,13.80507862,3.087953596,10.40129908,20.84564119,0.208535594,3.279996643,#N/A N/A,15.13890607,2.232334023,16960,59714,5.870811643,7.815249429,11149,1.558238658,Insurance,1258.083232,58255355
CBOE UF Equity,12105496980,114,0.075896561,0.615885317,17.6831699,7.681512235,16.69978279,35.83768037,0.201726026,1.917108877,16.78958333,21.03291541,7.960329493,1444.1,3604.8,16.75694361,6.728911043,545.8,3.393461996,Diversified Finan Serv,169.99074,23401017
CBRE UN Equity,26116158265,79.9,0.217357814,0.921359003,16.45181281,10.75268774,26.2934351,6.619230221,1.518034022,2.570248625,32.52039641,13.1435748,0.916290781,4308.587,9359.117,13.50070635,8.155879588,2154.327,3.108803693,Real Estate,457.3729583,44359959
CCI UN Equity,79262118524,183.04,-0.017923571,0.698231101,8.561643836,3.904733751,17.91379209,17.28706625,0.16958215,4.391218466,2.99103139,52.56567645,11.99356197,27009,8258,6.152058715,6.765813738,1560,9.862657677,REITS,-888.7622058,36822440
CCL UN Equity,15141174455,13.51,-0.510671556,1.310031891,-65.89812332,-14.22353335,-52.17766565,-497.9559748,0.063434896,3.270344659,-4.428482199,#N/A N/A,4.37704969,34607,12144,-14.24476696,7.678219823,-7716,1.492376128,Leisure Time,-10618.44351,31587944
CDAY UN Equity,8422941775,55.18,-0.601999342,1.242238998,21.56676558,-0.732429919,-3.212107425,-7.36184339,0.114856588,3.205839517,-0.988857939,#N/A N/A,7.688166429,1178.2,2227.5,-1.541083204,10.56229453,37.3,3.931535044,Software,-391.1599551,26450055
CDNS UW Equity,43724347040,158.56,0.316806048,1.10613513,11.38149109,18.70215664,29.60546618,23.28976483,0.751482542,1.592963898,45.88274441,56.29222452,13.72599998,479.98,2740.675,29.78405518,10.60283584,1035.66,15.84110415,Software,429.7233435,53655871
CDW UW Equity,23724969275,175.59,0.069777206,1.147573352,12.74292676,9.152322165,100.0984782,4.748136479,1.943732746,11.25629119,#N/A N/A,23.60659338,1.094857743,7074.4,705.7,22.30530814,9.028995856,684.6,26.56164876,Internet,406.1730054,29497200
CE UN Equity,16986087453,156.83,0.274599493,0.954491913,50.96374889,19.34759727,55.03939134,22.13892468,0.80036235,2.966169799,21.36263736,7.725219318,1.856361608,4204,4537,24.30434046,7.974408978,1290,3.686963422,Chemicals,998.1212556,27561418
CEG UW Equity,21288688774,65.17,#N/A N/A,#N/A N/A,11.6230188,#N/A N/A,#N/A N/A,-1.043310092,#N/A N/A,#N/A N/A,-1.164983165,#N/A N/A,#N/A N/A,8196,11614,#N/A N/A,9.35622991,-2667,1.919008501,Electric,1606.173621,#N/A N/A
CERN UW Equity,27930495987,94.97,0.185125396,0.62301147,4.7047943,10.77410887,20.02891611,9.637692322,0.759927162,1.832071649,13.0130815,34.31821634,4.839680436,1931.11,3680.462,12.41350647,6.708639342,1481.99,7.143057828,Software,199.6012659,62725985
CF UN Equity,19996560879,95.86,1.026022077,0.783298254,58.53540252,16.07800566,58.98165268,14.02569593,0.648082813,3.981396867,9.091891892,9.851288361,2.437653612,3716,6036,30.27554255,7.250722849,2359,5.006328078,Chemicals,1578.572392,23821986
CFG UN Equity,20050700956,40.47,0.153336421,1.039682508,-8.9890568,1.122995724,10.47196204,34.88791936,0.036587102,8.842328093,#N/A N/A,8.107138673,2.477423086,7806,23420,8.29890644,7.993509502,2151,0.854979272,Banks,-1331.399406,27034288
CHD UN Equity,21543509633,88.74,0.097305074,0.618396163,6.01127497,9.838390299,22.79143043,15.94381611,0.685075806,2.46434054,19.8,29.28712801,4.130469512,2733.9,3233.2,18.33330478,6.825364979,875,6.328671463,Household Products/Wares,471.2871005,15864806
CHRW UW Equity,13747290279,108.02,0.117064185,0.855140209,42.54326466,14.60762157,48.34441098,3.65440203,3.828982568,3.119627091,#N/A N/A,14.98963848,0.565158425,2226.329,2021.934,29.00949765,7.842581388,60.758,6.598775754,Transportation,516.1475078,23548975
CHTR UW Equity,91019151734,491.07,-0.174740583,0.758704782,7.45368734,3.77117267,32.78537072,9.005069463,0.364386698,7.573556994,2.607381719,16.60736801,1.672112867,93012,18156,9.983951347,5.904748529,8604,6.83500562,Media,3765.138143,82843548
CI UN Equity,80577938604,253.97,0.006636789,1.007564783,8.526754821,3.950264366,12.77229509,3.081951769,1.162567979,3.185163138,6.568708609,14.0540808,0.474522136,34265,47184,9.607162024,7.626288363,6037,1.748387593,Pharmaceuticals,-151.0567284,55693339
CINF UW Equity,20259281906,126.34,0.418837905,0.930785418,27.7866242,3.667844885,9.246663797,30.59190031,0.294315523,2.466267682,#N/A N/A,19.11018827,2.358758585,897,13105,9.149566321,8.74963395,1966,1.674851258,Insurance,945.33673,19215353
CL UN Equity,66138751799,78.93,0.007531562,0.575877905,5.76771295,17.25459967,932.9914237,12.43327019,1.108742545,22.89940828,17.08717949,24.5296999,3.807168587,7833,971,34.8510522,6.52024188,2758,206.039726,Cosmetics/Personal Care,1900.334107,31801257
CLX UN Equity,17093349428,138.88,-0.332305074,0.4986265,9.224817735,8.015043485,89.49781277,9.671706852,1.113844707,9.512509477,9.363636364,33.71240486,2.409765672,3186,592,17.83053416,6.048962131,945,42.73037631,Household Products/Wares,352.8830782,24684258
CMA UN Equity,10717114762,81.96,0.391668081,1.091836691,-2.262443439,1.115949298,13.60856269,39.36636333,0.034287799,12.0647653,#N/A N/A,11.30482746,3.630170429,2856,7897,11.61629912,8.664776082,564,1.6146136,Banks,-225.0457991,17607012
CMCSA UW Equity,1.92327E+11,42.93,-0.102946281,0.763035178,12.37978448,5.367283261,15.83776475,12.16565709,0.435010786,2.949194003,4.862648914,13.43176,1.634990486,107259,98009,10.64032338,6.344601551,19972,2.031691842,Media,4819.700361,121599475
CME UW Equity,71884255600,200,-0.095064186,0.889956176,-3.970431649,1.301272779,8.790379426,56.21681557,0.026095985,5.983706012,15.84901138,30.1194341,14.98890162,4025.6,27399.3,8.974971423,8.532333743,2275.2,2.585979637,Diversified Finan Serv,-719.5463865,36210365
CMG UN Equity,38450043747,1375.06,0.041070756,1.115649819,26.10731082,11.19934078,33.39116691,8.652162743,1.240619686,2.926653772,#N/A N/A,55.34940993,4.939144745,3520.314,2297.374,15.10998947,10.02482762,839.606,18.0320534,Retail,98.32076552,39492240
